Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone,,National Category- Dry  Freeze Zone,,National Category- Dry  No Freeze Zone,,National Category- Wet  No Freeze Zone  NWN,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
Starting to weather (losing fines),Do Nothing,"Rejuvenator, or Fog/Coal Tar Seal",Slurry/Micro,"Rejuvenator, or Fog/Coal Tar seal","Fog/Coal tar Seal, Slurry/Micro",Rejuvenator,Fog/Coal tar Seal,Rejuvenator,,
Definitely Weathering (losing fines) ,"Rejuvenator, or Fog/Coal tar Seal",Slurry/Micro,Slurry/Micro,"Rejuvenator, or Fog/Coal Tar seal",Fog/Coal tar Seal,Slurry/Micro,"Rejuvenator, or Fog/Coal tar Seal",Slurry/Micro,,
Starting to ravel (larger rock starting to pop out),"Rejuvenator, or Fog/Coal tar Seal",Slurry/Micro,"Rejuvenator, or Fog/Coal Tar seal",Slurry/Micro,Slurry/Micro,Fog/Coal tar Seal,"Rejuvenator, or Fog/Coal tar Seal",Slurry/Micro,,
Definitely raveling and losing rock,Chip/Cape seal,Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,,
"Few longitudinal cracks or joints, Low severity",Do Nothing ,Crack seal/ fill,Do Nothing,Crack seal/fill,Crack seal/fill,Do Nothing,Do Nothing,Crack seal/fill,,
Few longitudinal cracks or joints Mod severity,Crack seal/fill,Crack seal/ fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,,
Few longitudinal cracks or joints- High severity,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,,
Many longitudinal cracks- Low sev,Do Nothing,Crack seal/ fill,Do Nothing,Crack seal/fill,Crack seal/fill,Do Nothing,"Rejuvenator, Fog/Coal tar Seal",Crack seal/fill,,
Many longitudinal cracks- Mod sev,Asphalt Overlay/Mill+overlay,Crack seal/ fill,Asphalt Overlay/Mill+overlay,Crack seal/fill,Crack seal/fill,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Crack seal/fill,,
Many longitudinal cracks- High severity,Asphalt Overlay/Mill+overlay,Rehab or Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
A few edge cracks- Low severity,Crack seal/ fill,Do Nothing ,Crack seal/fill,Do Nothing,"Rejuvenator, Fog/Coal tar Seal",Crack seal/fill,Do Nothing,Crack seal/fill,,
A few edge cracks- Moderate severity,Patch/Reconstruct area,Crack seal/ fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,,
A few edge cracks- High severity,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,,
Transverse cracks spaced 50 ft apart Low sev,Do Nothing ,Crack seal/ fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,,
Transverse cracks spaced 50 ft apart Mod sev,Crack seal/fill,Crack seal/ fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,Crack seal/fill,,
Transverse cracks spaced 50 ft apart High sev,Crack seal/ fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
Transverse cracks spaced 20 ft apart- Low sev,Do Nothing,Crack seal/ fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,,
Transverse cracks spaced 20 ft apart Mod sev,Asphalt Overlay/Mill+overlay,Crack seal/ fill,Asphalt Overlay/Mill+overlay,Crack seal/fill,Asphalt Overlay/Mill+overlay,Crack seal/fill,Asphalt Overlay/Mill+overlay,Crack seal/fill,,
Transverse cracks spaced 20 ft apart High sev,"Crack seal/ fill,or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Crack seal/ fill,or Chip/Cape seal",Asphalt Overlay/Mill+overlay,Crack seal/fill,Asphalt Overlay/Mill+overlay,Crack seal/fill,Asphalt Overlay/Mill+overlay,,
Block cracking Low severity,"Do Nothing, Chip/Cape seal",Crack seal/ fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,"Do Nothing, Chip/Cape seal",Crack seal/fill,,
Block cracking Moderate severity,"Chip/Cape seal, or Asphalt Overlay/Mill+overlay",Crack seal/ fill,Crack seal/fill,Chip/Cape seal,Crack seal/fill,Crack seal/fill,Asphalt Overlay/Mill+overlay,Crack seal/fill,,
Block cracking High severity,"Chip/Cape seal, or Asphalt Overlay/Mill+overlay",Rehab or Reconstruct,Chip/Cape seal,Rehab/Reconstruct,Rehab/Reconstruct,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,,
Reflection cracking Low severity,Do Nothing,Crack seal/ fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,,
Reflection cracking Mod severity,Crack seal/fill,Crack seal/ fill,"Chip/Cape seal, or Asphalt Overlay or Mill+overlay",Crack seal/fill,"Crack seal/fill, or Chip/Cape seal",Crack seal/fill,Crack seal/fill,Crack seal/fill,,
Reflection cracking High severity,Patch/Reconstruct area,Rehab or Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,,
Fatigue cracking- 10% Low severity,Crack seal/fill,Patch/Reconstruct area,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Crack seal/fill,Patch/Reconstruct area,,
Fatigue cracking- 10%  Mod severity ,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Patch/Reconstruct area,Crack seal/fill,Crack seal/fill,Patch/Reconstruct area,,
Fatigue cracking- 10% High severity ,Rehab/Reconstruct,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,,
Fatigue cracking- 30% Fatigue cracking Low sev,Patch/Reconstruct area,Rehab or Reconstruct,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,"Asphalt Overlay/Mill+overlay, or Patch/Reconstruct area",Rehab/Reconstruct,,
Fatigue cracking- 30% Moderate sev,Patch/Reconstruct area,Rehab or Reconstruct,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,"Asphalt Overlay/Mill+overlay, or Patch/Reconstruct area",Rehab/Reconstruct,,
Fatigue cracking- 30% High sev,Patch/Reconstruct area,Rehab or Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,Rehab/Reconstruct,Patch/Reconstruct area,Patch/Reconstruct area,Rehab/Reconstruct,,
Patching- 10% Low severity,Crack seal/fill,Do Nothing ,Crack seal/fill,Do Nothing,Crack seal/fill,Do Nothing,Crack seal/fill,Do Nothing,,
Patching- 10% Moderate severity,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,Crack seal/fill,Patch/Reconstruct area,,
Patching- 10%  High severity,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
Patching- 30% Low severity,"Slurry/Micro, or Chip/Cape seal",Do Nothing ,Crack seal/fill,Do Nothing,Crack Seal/Fill,Do Nothing,"Slurry/Micro, or Cape/Chip seal",Do Nothing,,
Patching- 30%  Moderate severity,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Chip/Cape Seal,Rehab/Reconstruct,Cape/Chip seal,Asphalt Overlay/Mill+overlay,,
Patching- 30% High severity,"Asphalt overlay/Mill+ overlay, or Patch/Reconstruct area",Rehab or Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,,
"Roughness, Long Wavelength Swells",Patch/Reconstruct area,"Asphalt overlay/Mill+ overlay, or Do Nothing",Asphalt Overlay/Mill+overlay,Do Nothing,Asphalt Overlay/Mill+overlay,Do Nothing,Asphalt Overlay/Mill+overlay,Do Nothing,,
Roughness- Many Long Wavelength Swells,Rehab or Reconstruct,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
