Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone       NWF,,National Category- Dry  Freeze Zone       NDF,,National Category- Dry  No Freeze Zone     NDN,,National Category- Wet  No Freeze Zone,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
"Joint seal 5 years, still GOOD",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
Joint Seal Low sev,Crack/Joint Seal,Do Nothing,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,,
Joint Seal Mod sev,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,,
Joint Seal High sev,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,Crack/Joint Seal,,
Joint and Corner Spall Lowsev,"Crack/Joint Seal, or Do Nothing",Partial depth repair,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Partial depth repair,,
Joint and Corner Spall Mod sev,"Crack/Joint Seal, orPartial Depth repair",Partial depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,,
Joint and Corner Spall High sev,Partial depth repair,Partial depth repair,Partial depth repair,Partial depth repair,Partial depth repair,Partial depth repair,Partial depth repair,Partial depth repair,,
"Mid-Panel Crack, 20% slabs, Low sev",Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,,
"Mid-Panel Crack, 20% slabs, Mod sev","Partial depth repair, or Full-depth repai",Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,,
"Mid-Panel Crack, 20% slabs, Hi sev","Crack/Joint Seal, or Partial depth repair",Full-depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,,
"Mid-Panel Crack, 40% slabs, Low sev",Do Nothing,Concrete/asphalt overlay,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Concrete/asphalt overlay,,
"Mid-Panel Crack, 40% slabs,Modsev",Rehab/Reconstruct,Concrete/asphalt overlay,Partial depth repair,Crack/Joint Seal,Partial depth repair,Crack/Joint Seal,Partial depth repair,Concrete/asphalt overlay,,
"Mid-Panel Crack, 40% slabs, Hi sev",Concrete/asphalt overlay,Rehab/Reconstruct,Concrete/asphalt overlay,Rehab/Reconstruct,Concrete/asphalt overlay,Rehab/Reconstruct,Concrete/asphalt overlay,Rehab/Reconstruct,,
"Corner Brk, 10% slab, Low sev","Crack/Joint Seal, or Full-depth repair",Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,,
"Corner Brk, 10% slab, Mod sev",Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,,
"Corner Brk, 10% slab, Hi  sev",Full-depth repair,Full-depth repair,Full-depth repair,Full-depth repair,Full-depth repair,Full-depth repair,Full-depth repair,Full-depth repair,,
"Corner Brk, 30% slab, Low sev",Crack/Joint Seal,"Do Nothing, or Full-depth repair",Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,,
"Corner Brk, 30% slab, Mod sev",Full-depth repair,"Full-depth repair, or Concrete/asphalt overlay",Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,,
"Corner Brk, 30% slab, Hi sev",Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,,
"10% Shattered, Low sev",Do Nothing,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,,
"10% Shattered, Mod sev",Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,,
"10% Shattered, Hi sev",Concrete/asphalt overlay,Full-depth repair,Concrete/asphalt overlay,Full-depth repair,Concrete/asphalt overlay,Full-depth repair,Concrete/asphalt overlay,Full-depth repair,,
"30% Shattered, Low sev",Rehab/Reconstruct,Concrete/asphalt overlay,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,Full-depth repair,Crack/Joint Seal,,
"30% Shattered, Mod sev",Full-depth repair,Rehab/Reconstruct,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,Full-depth repair,,
"30% Shattered, Hi sev",Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,Full-depth repair,Rehab/Reconstruct,,
"30% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"30% slabs, Patches Med sev",Partial depth repair,Full-depth repair,Full-depth repair,Partial depth repair,Full-depth repair,Partial depth repair,Full-depth repair,Partial depth repair,,
"30% slabs, Patches Hi sev",Partial depth repair,Full-depth repair,Partial depth repair,Rehab/Reconstruct,Partial depth repair,Rehab/Reconstruct,Partial depth repair,Rehab/Reconstruct,,
"50% slabs, Patches Low sev",Concrete/asphalt overlay,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"50% slabs, Patches Med sev",Full-depth repair,Concrete/asphalt overlay,Concrete/asphalt overlay,Full-depth repair,Concrete/asphalt overlay,Full-depth repair,Concrete/asphalt overlay,Full-depth repair,,
"50% slabs, Patches Hi sev",Concrete/asphalt overlay,Rehab/Reconstruct,Concrete/asphalt overlay,Rehab/Reconstruct,Concrete/asphalt overlay,Rehab/Reconstruct,Concrete/asphalt overlay,Rehab/Reconstruct,,
10% slabs Fault Low sev,Grinding/grooving,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,,
10% slabs Fault Med sev,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,,
10% slabs Fault Hi sev,Slab stabilization/jacking/underseal,Grinding/grooving,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,,
30% slabs Fault Low sev,Do Nothing,Grinding/grooving,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,Crack/Joint Seal,Do Nothing,,
30% slabs Fault Med sev,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,,
30% slabs Fault Hi sev,Slab stabilization/jacking/underseal,Rehab/Reconstruct,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,,
,,,,,,,,,,
