,,,,,,Crack Seal/Fill,,,Rejuvenator,,,Fog/Coal tar seal,,,Slurry/Micro,,,Chip/Cape,,,Overlay/Mill+overlay,,,Patch/Reconstruct,,,Total Rehab/Reconstruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distress Description,DC,Sev,Quan,PCI,Do Nothing,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,Cost,Unit,$/Unit,,Mod Quan,Explain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to weather,57,L,5000,94,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,"$1,111 ",555.6,$2.00 ,"$1,389 ",555.6,$2.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely Weathering,57,M,5000,80,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to ravel,52,L,5000,74,,,,,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,"$1,111 ",555.6,$2.00 ,"$1,389 ",555.6,$2.50 ,"$1,944 ",555.6,$3.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely raveling ,52,M,5000,43,,,,,,,,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,"$2,222 ",555.6,$4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints low,48,L,150,90,,$75 ,150,$0.50 ,$206 ,555.6,$0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints moderate,48,M,150,81,,$113 ,150,$0.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints- high,48,H,150,67,,$150 ,150,$1.00 ,,,,,,,,,,,,,"$2,500 ",555.6,$4.50 ,"$7,500 ",150,$50.00 ,"$41,670 ",556,$75.00 ,$65/75/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- low,48,L,400,80,,$200 ,400,$0.50 ,$206 ,555.6,$0.37 ,$206 ,555.6,$0.37 ,,,,"$1,389 ",555.6,$2.50 ,"$3,611 ",555.6,$6.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- moderate,48,M,400,67,,$300 ,400,$0.75 ,,,,$206 ,555.6,$0.37 ,"$1,389 ",555.6,$2.50 ,"$1,528 ",555.6,$2.75 ,"$4,167 ",555.6,$7.50 ,"$20,000 ",400,$50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
