Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone,,National Category- Dry  Freeze Zone,,National Category- Dry  No Freeze Zone,,National Category- Wet  No Freeze Zone  NWN,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
Starting to weather (losing fines),Do Nothing,"AC.Rejuvenator.Weather.Start.png, or AC.Fog-Coal.Weather.Start.png",AC.Micro-Slurry.Weather.Start.png,"AC.Rejuvenator.Weather.Start.png, or AC.Fog-Coal.Weather.Start.png","AC.Fog-Coal.Weather.Start.png, or AC.Micro-Slurry.Weather.Start.png",AC.Rejuvenator.Weather.Start.png,AC.Fog-Coal.Weather.Start.png,AC.Rejuvenator.Weather.Start.png,,
Definitely Weathering (losing fines) ,"AC.Rejuvenator.Weather.Definite.png, or AC.Fog-Coal.Weather.Definite.png",AC.Micro-Slurry.Weather.Definite.png,AC.Micro-Slurry.Weather.Definite.png,"AC.Rejuvenator.Weather.Definite.png, or AC.Fog-Coal.Weather.Definite.png",AC.Fog-Coal.Weather.Definite.png,AC.Micro-Slurry.Weather.Definite.png,"AC.Rejuvenator.Weather.Definite.png, or AC.Fog-Coal.Weather.Definite.png",AC.Micro-Slurry.Weather.Definite.png,,
Starting to ravel (larger rock starting to pop out),"AC.Rejuvenator.Ravel.Start.png, or AC.Fog-Coal.Ravel.Start.png",AC.Micro-Slurry.Ravel.Start.png,"AC.Rejuvenator.Ravel.Start.png, or AC.Fog-Coal.Ravel.Start.png",AC.Micro-Slurry.Ravel.Start.png,AC.Micro-Slurry.Ravel.Start.png,AC.Fog-Coal.Ravel.Start.png,"AC.Rejuvenator.Ravel.Start.png, or AC.Fog-Coal.Ravel.Start.png",AC.Micro-Slurry.Ravel.Start.png,,
Definitely raveling and losing rock,AC.Chip-Cape.Ravel.Definite.png,AC.OL-Mill.Ravel.Definite.png,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,,
"Few longitudinal cracks or joints, Low severity",Do Nothing,AC.Crack_Seal.Long.Few.Low.png,Do Nothing,AC.Crack_Seal.Long.Few.Low.png,AC.Crack_Seal.Long.Few.Low.png,Do Nothing,Do Nothing,AC.Crack_Seal.Long.Few.Low.png,,
Few longitudinal cracks or joints Mod severity,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,,
Few longitudinal cracks or joints- High severity,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,,
Many longitudinal cracks- Low sev,Do Nothing,AC.Crack_Seal.Long.Many.Low.png,Do Nothing,AC.Crack_Seal.Long.Many.Low.png,AC.Crack_Seal.Long.Many.Low.png,Do Nothing,AC.Rejuvenator.Long.Many.Low.png,AC.Crack_Seal.Long.Many.Low.png,,
Many longitudinal cracks- Mod sev,AC.OL-Mill.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.OL-Mill.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.OL-Mill.Long.Many.Medium,AC.Crack_Seal.Long.Many.Medium,,
Many longitudinal cracks- High severity,AC.OL-Mill.Long.Many.High.png,AC.Recon.Long.Many.High.png,AC.OL-Mill.Long.Many.High.png,AC.Recon.Long.Many.High.png,AC.OL-Mill.Long.Many.High.png,AC.ReconLong.Many.High.png,AC.OL-Mill.Long.Many.High,AC.ReconLong.Many.High.png,,
A few edge cracks- Low severity,AC.Crack_Seal.Edge.Low.png,Do Nothing,AC.Crack_Seal.Edge.Low.png,Do Nothing,AC.Rejuvenator.Edge.Low.png,AC.Crack_Seal.Edge.Low.png,Do Nothing,AC.Crack_Seal.Edge.Low.png,,
A few edge cracks- Moderate severity,AC.Patch.Edge.Medium.png,AC.Crack_Seal.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Crack_Seal.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Patch.Edge.Medium.png,,
A few edge cracks- High severity,AC.Crack_Seal.Edge.High.png,AC.Patch.Edge.High.png,AC.Crack_Seal.Edge.High.png,AC.Patch.Edge.High.png,AC.Crack_Seal.Edge.High.png,AC.Crack_Seal.Edge.High.png,AC.Crack_Seal.Edge.High.png,AC.Patch.Edge.High.png,,
Transverse cracks spaced 50 ft apart Low sev,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,,
Transverse cracks spaced 50 ft apart Mod sev,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,,
Transverse cracks spaced 50 ft apart High sev,AC.Crack_Seal.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.Crack_Seal.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.OL-Mill.Trans.50.High.png,AC.Patch.Trans.50.High.png,,
