Asphalt,,,
,Longitudinal,,
,,"Few longitudinal, Low","Cracks have only light spalling (little or no FOD potential) or no spalling, and can be filled or non-filled. If non-filled, the cracks have a mean width of &frac14; inch (6 mm) or less; filled cracks are of any width, but their filler material is in satisfactory condition."
,,"Few longitudinal, Medium","One of the following conditions exists: (1) cracks are moderately spalled (some FOD potential) and can be either filled or non-filled of any width; (2) filled cracks are not spalled or are lightly spalled, but filler is in unsatisfactory condition; (3) non-filled cracks are not spalled or are only lightly spalled, but the mean crack width is greater than &frac14; inch (6 mm), or (4) light random cracking exists near the crack or at the corners of intersecting cracks."
,,"Few longitudinal, High",Cracks are severely spalled and pieces are loose or missing causing definite FOD potential. Cracks can be either filled or non-filled of any width.
,,"Many longitudinal, Low","Cracks have only light spalling (little or no FOD potential) or no spalling, and can be filled or non-filled. If non-filled, the cracks have a mean width of &frac14; inch (6 mm) or less; filled cracks are of any width, but their filler material is in satisfactory condition."
,,"Many longitudinal, Medium","One of the following conditions exists: (1) cracks are moderately spalled (some FOD potential) and can be either filled or non-filled of any width; (2) filled cracks are not spalled or are lightly spalled, but filler is in unsatisfactory condition; (3) non-filled cracks are not spalled or are only lightly spalled, but the mean crack width is greater than &frac14; inch (6 mm), or (4) light random cracking exists near the crack or at the corners of intersecting cracks."
,,"Many longitudinal, High",Cracks are severely spalled and pieces are loose or missing causing definite FOD potential. Cracks can be either filled or non-filled of any width.
,Transverse,,
,,"Transverse cracks, 50 ft apart, Low","Cracks have only light spalling (little or no FOD potential) or no spalling, and can be filled or non-filled. If non-filled, the cracks have a mean width of &frac14; inch (6 mm) or less; filled cracks are of any width, but their filler material is in satisfactory condition."
,,"Transverse cracks, 50 ft apart, Medium","One of the following conditions exists: (1) cracks are moderately spalled (some FOD potential) and can be either filled or non-filled of any width; (2) filled cracks are not spalled or are lightly spalled, but filler is in unsatisfactory condition; (3) non-filled cracks are not spalled or are only lightly spalled, but the mean crack width is greater than &frac14; inch (6 mm), or (4) light random cracking exists near the crack or at the corners of intersecting cracks."
