Distress Description,DC,Sev,Quan,PCI,Do Nothing,Crack Seal/Fill,Rejuvenator,Fog/Coal tar seal,Slurry/Micro,Chip/Cape,Overlay/Mill+overlay,Patch/Reconstruct,Rehab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to weather,57,L,5000,94,0,0,145.5,128.1,145.5,164.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely Weathering,57,M,5000,80,0,0,254.9,234.8,254.7,274.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting to ravel,52,L,5000,74,0,0,288.5,267.9,289,307.9,401.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely raveling ,52,M,5000,43,0,0,0,314.3,334.4,351.8,413.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints low,48,L,150,90,0,53.7,78.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints moderate,48,M,150,81,0,125.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few longitudinal cracks or joints- high,48,H,150,67,0,196.8,0,0,0,0,419.6,247.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- low,48,L,400,80,0,50.4,70,57.4,0,285.7,384.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- moderate,48,M,400,67,0,117.4,0,121.6,315,333.9,419.6,247.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many longitudinal cracks- high,48,H,400,50,0,158.6,0,0,0,0,423.5,228.8,683.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- Low,48,L,150,90,0,53.7,78.1,62.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- Moderate,48,M,150,81,0,125.1,0,0,0,0,375.8,186.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few edge cracks- High ,48,H,150,67,0,196.8,142.2,0,0,0,419.6,247.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
