Distress,DC,Sev,Quan,PCI,Do Nothing,Crack/Joint seal,Partial depth repair,Full-depth repair (localized),Concrete overlay,Asphalt overlay,Rehab/Reconstruct,Grinding/grooving,Slab stabilization/jacking/underseal,Crossstitching/dowelbar retrofit,
Joint seal is about 5 years old still in GOOD condition,-,-,-,100,0,58.6,0,0,0,0,0,0,0,0,
JOINT SEAL DAMAGE LOW severity ,65,L,20,98,0,127.8,0,0,0,0,0,0,0,0,
JOINT SEAL DAMAGE MODERATE,65,M,20,93,0,253.2,0,0,0,0,0,0,0,0,
JOINT SEAL DAMAGE HIGH severity,65,H,20,88,0,333.1,0,0,0,0,0,0,0,0,
JOINT and CORNER SPALLS LOW severity ,74,L,5,93,0,253.2,227.4,0,0,0,0,0,0,0,
JOINT and CORNER SPALLS MODERATE severity ,74,M,5,84,0,255.7,386,0,0,0,0,0,0,0,
JOINT and CORNER SPALLS HIGH severity,74,H,5,68,0,406,529,0,0,0,0,0,0,0,
MID-PANEL cracking on 20% of the slabs LOW severity,63,L,4,86,0,96.5,0,0,0,0,0,0,0,0,
MID-PANEL cracking on 20% of the slabs MODERATE ,63,M,4,72,0,262.4,375.4,437.9,0,0,0,0,0,0,
MID-PANEL cracking on 20% of the slabs HIGH ,63,H,4,60,0,349.3,449.9,507.8,767.8,711.7,0,0,0,0,
MID-PANEL cracking on 40% of the slabs LOW severity,63,L,8,81,0,91.8,184.5,239.8,641.4,584,0,0,0,0,
MID-PANEL cracking on 40% of the slabs MODERATE ,63,M,8,60,0,273.5,360.8,407.7,767.8,711.7,1310.6,0,0,0,
MID-PANEL cracking on 40% of the slabs HIGH ,63,H,8,42,0,304.5,385.9,426.3,758.5,711.1,1371.8,0,0,0,
CORNER BREAK on 10% of the slabs LOW,62,L,2,92,0,95,0,257.5,0,0,0,0,0,0,
CORNER BREAK on 10% of the slabs MODERATE,62,M,2,85,0,221.9,0,392.3,0,0,0,0,0,0,
CORNER BREAK on 10% of the slabs HIGH,62,H,2,77,0,315.6,0,482.2,0,0,0,0,0,0,
CORNER BREAK on 30% of the slabs LOW ,62,L,6,79,0,88.6,0,316.2,0,0,0,0,0,0,
CORNER BREAK on 30% of the slabs MODERATE,62,M,6,68,0,203.5,0,406,739.7,678.8,0,0,0,0,
CORNER BREAK on 30% of the slabs HIGH ,62,H,6,54,0,269.5,0,465.6,0,0,1345.1,0,0,0,
10% of slabs are SHATTERED LOW ,72,L,2,83,0,93.7,0,561,0,0,0,0,0,0,
10% of slabs are SHATTERED MODERATE,72,M,2,73,0,216.2,0,656,0,0,0,0,0,0,
10% of slabs are SHATTERED HIGH ,72,H,2,60,0,0,0,711.7,767.8,711.7,0,0,0,0,
30% of slabs are SHATTERED LOW,72,L,6,68,0,68.7,0,678.8,739.7,678.8,1236,0,0,0,
30% of slabs are SHATTERED MODERATE ,72,M,6,53,0,145.8,0,719.7,772.2,719.7,1345.1,0,0,0,
30% of slabs are SHATTERED HIGH,72,H,6,39,0,0,0,701.6,747.3,701.6,1373.4,0,0,0,
30% of area has PATCHES LOW ,67,L,6,86,0,0,0,0,0,0,0,0,0,0,
30% of area has PATCHES MODERATE,67,M,6,71,0,273.5,331.3,387.3,0,0,0,0,0,0,
30% of area has PATCHES HIGH,67,H,6,48,0,0,422.9,470,0,0,1362.4,0,0,0,
50% of area has PATCHES LOW ,67,L,10,82,0,0,0,0,641.4,572.8,0,0,0,0,
50% of area has PATCHES MODERATE,67,M,10,62,0,0,324.6,368,764.1,707.3,0,0,0,0,
50% of area has PATCHES HIGH,67,H,10,33,0,0,346.1,379,728.2,685.2,1373.4,0,0,0,
10% of slabs are FAULTED LOW,71,L,2,92,0,266.7,182.8,0,0,0,0,395.8,0,0,
10% of slabs are FAULTED MODERATE ,71,M,2,86,0,206.6,303.5,0,0,0,0,504,415,0,
10% of slabs are FAULTED HIGH,71,H,2,74,0,0,444,514.8,0,0,0,629.9,0,510.9,
30% of slabs are FAULTED LOW,71,L,6,80,0,444.1,243.1,0,663.4,596,0,578.5,489.4,0,
30% of slabs are FAULTED MODERATE ,71,M,6,70,0,0,0,0,733.6,672.1,1221.1,655.3,567.3,591.5,
30% of slabs are FAULTED HIGH ,71,H,6,51,,0,0,468,772.6,720.6,1351.8,705.5,622.2,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
